"Word ","guasch_2016 
valence_m × ","guasch_2016 
valence_sd × ","guasch_2016 
arousal_m × ","guasch_2016 
arousal_sd × ","guasch_2016 
concreteness_m × ","guasch_2016 
concreteness_sd × ","guasch_2016 
imageability_m × ","guasch_2016 
imageability_sd × ","guasch_2016 
contextual_availability_m × ","guasch_2016 
contextual_availability_sd × ","guasch_2016 
familiarity_m × ","guasch_2016 
familiarity_sd × "
"investigadora","6.55","1.39","4.95","1.67","4.52","1.50","5.52","1.60","5.50","1.54","5.30","1.63"
"invitada","6.30","1.38","5.20","2.21","3.71","1.65","4.76","1.64","4.55","2.02","5.76","1.84"
"inyección","3.59","1.68","6.77","1.66","5.27","1.32","6.30","1.38","5.83","1.47","5.45","1.68"
"irritación","2.18","1.26","7.70","1.22","3.48","1.44","4.00","1.88","4.79","2.00","5.14","1.70"
"jabón","6.00","1.38","3.14","2.01","6.05","0.67","6.75","0.44","6.45","0.69","6.68","0.57"
"jarra","5.22","0.60","3.70","1.84","6.10","1.45","6.64","0.58","5.82","1.56","6.41","1.05"
"jefe","4.38","1.24","5.19","2.48","5.50","1.54","5.14","1.70","5.14","1.86","6.32","1.09"
"jerarquía","4.38","1.16","4.95","2.15","3.65","1.93","4.10","1.33","3.59","2.04","4.25","1.83"
"jeringa","3.05","1.46","6.27","1.78","6.38","0.74","6.80","0.41","5.83","1.72","5.00","1.87"
"jeringuilla","2.86","1.33","6.45","1.47","6.70","0.73","6.95","0.22","5.58","1.93","5.74","1.21"
"jersey","5.42","1.33","3.35","1.66","5.86","1.46","7.00","0.00","6.36","0.90","6.55","0.83"
"jornalera","4.42","1.17","4.95","2.44","5.38","1.60","2.45","1.54","3.55","1.82","3.15","1.69"
"joya","6.12","1.07","4.75","1.94","4.43","2.01","6.70","0.66","5.86","1.42","6.26","1.25"
"jubiloso","5.09","1.44","5.18","2.11","4.52","1.70","3.65","2.12","2.55","1.87","2.67","1.46"
"juez","4.30","1.17","5.55","2.06","6.38","0.92","6.55","0.76","5.09","2.11","5.43","1.16"
"jugo","5.30","0.98","3.86","1.86","4.40","1.70","4.90","1.87","3.90","2.13","4.40","2.21"
"juguete","6.69","1.64","3.65","1.81","3.62","2.25","6.10","1.37","6.09","1.41","6.41","1.22"
"laberinto","4.54","1.74","6.19","1.81","5.23","1.41","6.55","0.83","5.90","1.52","4.95","1.28"
"laboratorio","4.68","1.09","4.10","2.07","5.86","1.04","6.76","0.44","4.41","2.22","6.27","1.03"
"labrador","5.41","1.01","5.05","2.01","5.32","1.46","5.59","1.74","4.27","2.33","4.33","1.49"
"lado","5.30","0.80","3.50","1.85","3.40","1.96","4.50","1.73","4.30","2.24","6.60","0.88"
"ladrillo","4.65","0.75","3.65","1.90","6.73","0.55","6.73","0.55","5.68","1.99","5.60","1.64"
"ladrona","2.30","1.17","6.50","1.28","5.14","1.42","5.40","1.60","5.18","1.89","5.36","1.81"
"ladrón","2.82","1.44","7.23","1.27","5.29","1.79","5.18","1.59","5.95","1.50","6.36","0.79"
"lamento","1.92","1.02","5.38","2.33","2.36","0.95","3.38","1.96","4.85","1.95","5.30","1.56"
"lata","5.00","0.95","3.95","2.06","6.20","1.06","6.41","1.22","5.73","2.03","6.20","1.20"
"latido","6.67","1.62","5.60","1.98","5.55","1.70","4.20","1.77","5.15","1.81","5.65","1.31"
"lágrima","2.35","1.50","5.55","2.84","6.32","1.09","6.76","0.54","6.00","1.27","6.27","1.20"
"lámpara","5.00","0.00","3.80","2.35","6.40","0.88","6.81","0.40","6.50","0.96","6.48","1.17"
"lápiz","5.55","1.26","3.95","1.56","6.50","1.06","7.00","0.00","6.68","0.72","6.64","0.95"
"látigo","2.70","1.58","6.15","2.46","6.76","0.44","6.61","0.94","4.77","2.25","4.64","1.65"
"leche","5.95","1.10","3.41","1.89","6.27","1.24","6.91","0.29","6.40","1.39","6.82","0.66"
"lechera","5.75","1.08","3.52","1.86","5.41","1.62","4.57","1.94","4.14","2.48","3.33","1.77"
"lechero","5.50","1.11","3.26","1.91","5.50","1.60","4.48","1.97","3.86","2.22","4.00","2.29"
"legalidad","6.60","1.88","4.00","2.62","3.68","1.84","2.67","1.46","3.91","2.13","5.29","1.55"
"lejos","2.77","1.54","4.10","2.31","5.20","1.64","4.05","2.33","4.65","2.04","6.30","1.08"
"lentilla","5.50","1.28","4.40","2.11","6.05","1.56","6.73","0.70","6.18","1.37","6.33","1.24"
"lento","3.95","1.50","3.00","1.90","4.70","1.89","4.91","1.95","5.36","2.04","5.95","1.28"
"leopardo","5.40","1.27","6.68","1.91","6.85","0.37","6.85","0.37","5.05","2.06","5.95","1.53"
"letra","5.27","1.03","3.05","1.69","5.38","1.75","6.45","1.19","5.75","2.05","6.77","0.53"
"liberación","7.29","1.19","4.52","2.94","3.64","1.56","2.68","1.73","3.64","2.19","5.43","1.80"
"liberar","7.32","1.29","4.45","3.05","3.10","1.92","2.57","1.33","4.88","2.03","5.65","1.80"
"libertad","8.45","0.91","4.10","2.81","2.85","1.66","2.95","1.43","6.00","1.51","6.40","0.99"
"libre","7.80","1.15","4.76","2.91","2.85","1.81","3.25","1.77","4.60","1.93","6.33","0.80"
"librería","6.61","1.53","2.64","1.62","6.36","1.33","6.30","1.13","6.50","0.86","6.27","1.03"
"libreta","5.35","1.07","3.15","1.95","6.41","1.01","7.00","0.00","6.09","1.19","6.86","0.47"
"licenciada","8.31","0.88","6.55","2.46","4.81","1.91","3.75","1.62","6.27","1.28","5.32","1.91"
"liga","5.27","1.34","4.80","1.88","3.38","1.77","5.35","2.37","4.73","2.27","5.68","1.43"
"ligar","6.91","1.72","5.95","2.52","3.82","1.71","3.64","2.28","6.05","1.29","6.52","0.87"
"lima","5.05","0.94","4.27","1.75","5.32","2.01","6.45","0.74","4.55","1.82","5.48","1.70"
"limón","5.27","1.20","4.45","2.06","6.82","0.39","6.95","0.22","5.70","1.98","6.45","1.01"
"lince","5.81","1.47","4.50","1.54","6.52","0.98","5.75","2.07","3.65","2.23","4.76","1.30"
"linterna","5.29","0.72","3.50","1.47","6.80","0.41","6.91","0.42","5.95","1.68","6.09","1.44"
"lira","5.81","1.12","3.55","1.50","5.59","1.99","4.00","2.43","2.65","2.25","2.67","1.56"
"liso","5.20","0.95","3.50","1.74","5.15","1.90","4.62","1.77","5.64","1.43","6.27","0.98"
"lista","4.95","0.49","4.23","1.82","3.95","1.67","6.00","1.38","5.40","1.98","6.43","0.75"
"litro","5.30","0.98","4.09","1.85","5.00","1.86","5.74","1.39","4.73","2.12","6.75","0.55"
"lío","3.77","1.38","6.60","1.79","2.10","1.59","2.95","2.01","3.88","2.19","6.40","1.14"
"llama","5.18","1.26","5.35","2.35","4.15","1.76","5.95","1.39","5.25","2.15","5.86","1.17"
"llamada","6.29","0.96","4.24","2.07","4.00","1.84","5.05","2.28","6.39","0.84","6.60","0.94"
"llano","4.71","1.06","2.71","1.45","5.35","2.01","5.57","1.50","4.50","1.95","4.60","1.90"
"llanto","2.59","1.30","6.90","1.92","6.14","0.89","5.50","1.61","6.29","0.95","5.64","1.47"
"llave","5.50","1.36","3.77","1.77","5.64","1.71","6.95","0.22","5.95","1.90","6.91","0.43"
"llovizna","5.14","1.39","3.20","1.64","5.55","1.50","6.05","1.80","4.96","2.33","5.59","2.04"
"lluvia","6.25","2.07","2.82","1.74","6.14","0.83","6.73","0.55","6.50","0.86","7.00","0.00"
"lobo","5.86","1.58","5.45","2.21","6.76","0.54","6.80","0.41","4.65","2.33","5.90","1.48"
"loca","4.00","1.90","6.30","1.89","3.67","1.85","4.10","2.38","4.77","2.00","6.41","0.96"
"local","4.85","0.88","4.50","2.04","3.82","1.50","5.76","1.34","4.85","2.13","6.29","0.90"
"loco","4.22","2.09","6.91","1.77","3.30","1.78","4.85","1.81","5.55","1.77","6.35","0.93"
"locura","5.82","1.97","7.20","2.04","2.45","1.53","3.55","1.54","5.82","1.40","5.83","1.80"
"logro","7.45","1.28","6.27","2.00","3.50","2.12","3.05","1.70","4.45","2.30","5.40","1.39"
"lotería","7.62","1.36","7.00","1.98","5.60","1.05","5.50","1.19","5.70","1.66","5.86","1.85"
"lucha","3.24","1.89","6.29","1.68","4.67","1.49","4.95","1.91","5.30","1.69","5.57","1.33"
"ludópata","2.15","1.09","6.70","1.42","5.10","1.51","4.91","1.69","5.45","1.99","5.23","1.48"
"lugar","6.20","1.40","3.73","1.80","2.36","1.47","2.59","2.32","5.26","1.98","6.77","0.53"
"luna","6.45","1.82","2.85","2.60","5.90","1.45","6.91","0.43","5.96","1.78","6.45","1.28"
"lunar","5.50","1.50","4.00","2.00","6.00","1.45","6.50","1.28","4.73","2.25","5.67","1.53"
"maceta","5.35","1.04","3.18","1.79","6.23","1.34","6.81","0.51","5.25","2.38","6.19","1.36"
"machista","1.39","0.72","7.32","2.48","4.23","1.72","4.24","2.10","5.50","1.74","5.75","1.12"
"maduración","7.08","1.67","5.29","2.00","3.00","1.81","2.85","1.35","4.05","2.14","5.40","1.27"
"maestra","6.32","1.22","4.83","1.95","5.14","1.58","6.19","0.93","6.24","1.48","6.73","0.46"
"maestro","5.59","1.05","4.10","1.68","5.55","1.37","5.95","1.02","6.55","0.67","5.45","2.04"
"mafioso","3.46","1.32","5.55","1.64","5.09","1.31","5.43","1.72","4.43","1.90","4.67","2.01"
"maíz","5.60","1.14","3.23","1.80","6.41","0.91","6.59","0.96","5.09","2.07","5.52","1.63"
"malabarista","6.14","1.21","4.43","2.33","5.55","1.44","5.38","1.56","4.71","2.05","5.09","1.51"
"maldad","1.30","0.88","7.77","1.51","3.52","2.23","2.50","1.30","4.55","2.04","5.90","1.07"
"maldición","1.86","1.21","6.85","1.98","3.52","1.78","2.00","1.20","4.00","2.31","5.25","1.86"
"maldito","2.09","1.11","7.15","1.57","3.23","1.63","2.75","1.74","3.32","2.17","5.10","1.73"
"maleficio","2.05","1.28","6.32","1.89","3.23","1.88","2.36","1.79","2.78","2.17","3.76","1.89"
"maleta","5.30","1.81","5.15","2.01","5.43","1.40","6.86","0.35","6.05","1.76","6.70","0.80"
"maletero","4.52","1.03","4.25","1.62","6.40","1.10","6.52","0.87","6.09","1.27","6.36","1.00"
"malo","2.75","1.41","5.90","1.71","2.60","1.90","3.25","1.59","4.85","1.98","6.59","0.73"
"maltrato","1.68","0.99","7.86","1.08","4.70","1.26","5.48","1.93","6.00","1.20","5.00","1.95"
"malvado","3.18","1.62","7.00","1.66","3.80","1.58","3.70","1.53","3.85","2.01","5.55","1.36"
"manejo","4.77","0.97","4.18","1.53","2.91","1.56","2.57","1.67","2.36","1.56","4.43","1.63"
"manga","5.55","1.44","3.73","1.75","5.41","1.37","6.18","0.96","5.10","2.31","6.36","1.29"
"mango","5.15","0.81","3.23","1.74","5.33","1.96","6.09","1.19","4.25","2.38","5.00","1.75"
"manicomio","2.09","1.19","7.05","1.36","6.45","1.28","5.50","1.93","5.91","1.44","5.19","1.47"
"maníaco","2.75","1.52","7.10","1.29","4.39","1.80","3.22","2.02","4.05","1.86","4.64","2.06"
"manta","5.95","1.10","2.35","1.42","5.48","1.44","6.95","0.21","5.86","1.61","6.65","0.59"
"mantel","5.22","0.67","4.00","2.03","6.55","0.83","6.55","0.89","6.05","1.40","6.61","0.94"
"manto","5.05","0.92","2.90","1.71","4.30","1.49","5.14","1.39","2.30","1.59","4.65","2.25"
"manual","5.19","0.51","3.62","1.83","4.45","1.57","5.70","1.82","5.60","1.88","5.91","1.38"
"manuscrito","5.71","1.37","3.86","1.85","5.62","1.53","5.91","1.38","3.65","2.46","4.91","1.90"
"manzana","5.95","1.09","3.40","1.67","6.77","0.53","6.95","0.21","6.40","1.27","6.81","0.40"
"maquillaje","5.75","1.78","4.74","2.22","4.73","1.98","6.14","1.65","5.71","1.52","5.70","2.03"
"maquinilla","4.59","1.01","4.90","1.17","5.15","1.81","5.62","1.43","5.73","1.20","5.87","1.10"
"maravilla","7.68","0.95","5.65","2.03","2.67","1.43","2.60","1.47","4.40","1.90","5.68","1.21"
"marca","5.33","1.15","4.10","2.10","3.10","1.61","4.40","1.79","5.40","2.11","6.32","0.89"
"marco","4.90","1.04","3.36","1.79","4.05","1.70","6.27","1.28","5.10","2.38","5.91","1.27"
"margen","4.71","1.10","4.10","1.89","4.81","2.09","5.73","1.55","4.05","2.54","5.81","1.08"
"marginación","1.38","0.58","6.14","2.65","3.62","1.47","3.40","1.60","5.15","1.87","4.76","1.76"
"marido","6.04","1.51","5.40","2.64","5.86","1.46","3.90","2.47","5.36","1.99","6.17","1.07"
"marqués","4.82","0.91","3.86","1.46","5.23","1.38","4.77","1.85","2.91","2.22","3.57","1.57"
"martillo","4.90","1.21","5.50","2.01","6.55","0.89","6.95","0.21","6.27","1.39","5.85","1.50"
"martirio","2.19","1.29","6.15","1.84","2.45","1.50","2.00","1.21","2.36","1.56","3.82","1.53"
"masacre","1.55","1.71","7.59","1.05","4.50","1.76","4.70","1.49","5.30","1.75","4.67","1.71"
"masaje","8.25","0.99","2.57","2.58","5.55","1.32","6.48","0.75","6.30","1.30","6.19","0.87"
"masajista","6.89","1.31","3.48","2.31","5.68","1.39","5.38","1.63","4.90","1.79","4.80","1.82"
"masturbación","4.78","2.00","5.82","2.52","5.50","1.70","5.50","1.37","6.09","1.27","5.85","1.42"
"mate","4.91","1.19","4.25","2.12","4.86","1.73","4.30","2.11","3.35","2.28","4.00","1.95"
"matemático","5.86","1.58","3.85","2.21","5.70","1.45","4.55","2.16","5.00","2.13","5.57","1.40"
"materia","5.05","0.67","4.35","2.32","2.55","1.73","2.95","1.96","2.55","1.22","5.48","1.91"
"maternidad","7.96","1.33","6.43","2.71","5.67","1.35","5.52","1.50","6.05","1.19","4.75","2.00"
"matrimonio","6.61","2.06","4.86","2.75","5.36","1.73","5.05","1.40","6.36","0.95","6.50","0.91"
"mágico","7.38","1.12","6.15","2.21","2.95","1.43","3.80","1.64","4.55","1.70","6.14","1.08"
"máquina","4.80","0.77","4.35","2.13","3.05","1.70","6.26","0.81","5.32","1.76","6.05","1.66"
"máscara","4.93","1.54","5.00","2.34","4.09","2.09","6.33","1.06","4.62","1.99","5.85","1.60"
"mecanismo","4.45","1.10","4.30","1.87","2.50","1.50","3.77","2.07","3.04","1.83","4.95","1.99"
"mecánica","4.75","1.29","4.60","1.82","3.86","1.24","3.32","1.73","4.73","2.25","4.70","1.98"
"mechero","5.30","1.11","4.65","2.18","6.95","0.21","6.95","0.21","6.41","0.73","6.57","0.98"
"mechón","4.58","0.90","4.20","1.44","5.71","1.45","6.45","0.89","5.23","1.97","5.70","1.38"
"medalla","7.14","0.97","5.65","2.44","5.36","1.65","6.90","0.30","4.57","1.96","5.36","1.73"
"media","5.38","0.80","3.64","1.68","3.95","1.93","4.05","2.19","4.09","2.16","5.75","1.97"
"medusa","3.73","1.58","5.73","1.96","6.38","1.36","6.90","0.31","6.43","0.95","4.19","1.25"
"melena","6.19","1.36","4.00","1.97","5.05","1.75","6.65","0.75","6.14","1.17","6.50","0.96"
"mensaje","5.96","1.37","5.29","1.68","5.14","1.70","4.00","2.02","6.15","1.46","6.52","0.81"
"mensajero","5.39","0.99","3.91","1.82","5.68","0.95","5.50","1.40","5.27","1.86","5.15","1.90"
"menstruación","2.55","1.54","6.36","2.40","6.55","0.91","6.00","1.41","6.26","1.51","6.19","1.12"
"mente","5.22","1.04","4.80","1.70","3.43","1.94","3.25","1.74","4.14","2.21","6.38","0.92"
"mentiroso","1.91","0.97","6.57","1.95","4.68","1.73","2.38","1.75","4.83","1.70","6.43","0.81"
"mentón","5.09","0.92","4.14","1.46","6.50","0.91","5.86","1.46","4.00","2.35","4.40","1.90"
"mercado","5.00","1.21","5.14","2.05","4.14","2.10","6.24","1.45","5.55","1.71","5.90","1.34"
"merienda","6.95","1.13","4.10","2.51","5.45","1.68","5.82","1.37","6.18","1.01","6.82","0.39"
"mero","4.95","1.50","3.90","1.59","4.35","2.32","3.60","2.33","3.25","2.51","2.60","1.85"
"mesa","5.18","0.73","3.60","1.79","6.35","1.18","7.00","0.00","6.55","1.06","6.91","0.29"
"metro","4.67","1.02","3.85","2.37","4.50","1.71","6.65","0.75","6.05","1.82","5.50","1.50"
"mezquita","4.17","1.23","4.60","2.52","6.38","1.02","6.09","1.28","4.73","2.31","3.85","2.25"
"mérito","7.46","1.50","6.24","2.39","3.15","1.95","2.50","1.36","4.60","1.88","6.05","1.39"
"método","5.00","0.53","3.86","1.61","2.25","1.37","1.50","0.74","4.00","1.95","5.90","1.52"
"microscopio","5.00","0.56","3.50","1.82","6.95","0.21","6.83","0.39","5.26","2.20","5.25","1.77"
"micrófono","5.36","1.22","5.70","2.03","6.55","1.00","6.91","0.29","5.50","2.04","5.80","1.67"
"miedo","2.70","1.38","6.91","2.14","4.14","2.12","2.75","1.68","5.04","1.85","6.00","1.65"
"miedoso","3.10","1.29","6.71","1.79","4.67","1.80","2.80","1.96","4.87","1.77","5.52","1.72"
"miel","5.76","0.83","3.24","1.87","6.65","0.59","6.68","0.57","5.45","1.92","6.33","1.15"
"miembro","5.10","1.09","4.59","2.11","3.68","2.01","3.64","2.04","4.55","1.76","5.33","1.49"
"militar","3.71","1.61","5.78","1.81","4.55","1.95","6.38","0.86","5.14","1.96","5.35","1.69"
"millonaria","6.93","1.54","6.04","2.36","4.45","1.97","3.95","1.99","4.62","2.16","4.95","2.04"
"mimo","6.71","1.38","3.00","2.07","5.52","1.36","5.76","1.58","4.90","2.59","5.10","1.58"
"mina","3.55","1.44","5.86","2.27","5.29","1.62","6.09","1.27","4.45","2.52","4.82","1.53"
"minifalda","5.75","1.16","4.75","1.71","6.00","0.89","6.48","1.17","5.09","2.14","5.82","1.26"
"ministra","3.92","1.79","5.60","1.82","5.43","1.47","4.40","1.98","4.45","2.20","5.48","1.72"
"misil","2.70","1.38","7.10","1.45","6.23","0.75","5.85","1.31","4.09","2.15","4.48","1.72"
"misterio","5.32","1.49","6.60","2.30","3.14","1.73","1.95","1.36","3.91","2.00","5.33","1.49"
"mochila","5.35","0.71","3.95","1.73","6.45","0.60","6.86","0.35","6.64","0.66","6.82","0.39"
"moco","3.77","1.57","4.80","1.79","6.05","1.12","6.60","0.99","6.00","1.35","6.52","0.81"
"modista","6.04","1.26","3.91","1.68","5.82","1.18","5.33","1.65","4.76","1.76","3.95","1.69"
"modular","4.85","0.37","3.95","1.62","2.45","1.39","2.00","1.67","1.95","1.28","3.24","2.00"
"molde","5.25","1.07","3.68","1.76","3.85","1.84","6.24","0.83","6.05","1.17","5.14","1.53"
"molino","5.00","0.97","3.38","1.86","6.05","1.47","6.68","0.57","4.91","2.09","5.24","1.70"
"mona","5.90","1.07","4.15","2.37","5.33","1.49","6.50","0.96","5.55","1.50","5.50","1.70"
"monarquía","3.36","1.71","5.05","2.42","5.73","1.70","3.68","2.17","3.95","2.13","5.40","1.76"
"monasterio","4.20","1.40","3.10","2.13","5.62","1.40","6.26","1.14","4.67","2.14","4.05","2.01"
"monitor","5.36","1.36","3.95","1.50","5.23","1.45","6.10","1.29","6.20","1.15","6.09","1.19"
"monje","4.50","1.57","4.14","1.83","6.30","0.73","5.91","1.27","5.14","1.98","5.41","1.30"
"montaje","4.96","1.04","5.52","1.99","3.15","1.46","3.45","2.20","4.10","2.34","4.60","1.93"
"montón","5.18","0.96","4.00","1.95","2.50","1.68","4.00","1.88","4.23","1.95","6.05","1.53"
"monumento","5.86","1.25","4.10","1.77","4.45","1.54","5.95","1.02","5.18","2.02","5.70","1.34"
"moño","5.80","1.36","3.95","1.70","5.33","1.88","6.64","0.79","5.41","1.92","6.05","1.73"
"mora","5.30","1.08","4.05","1.56","5.43","1.99","6.68","0.72","5.05","2.33","5.86","1.77"
"mordisco","4.45","2.06","6.95","1.23","5.75","1.33","5.90","1.37","5.82","1.47","6.18","1.10"
"morena","5.85","1.42","4.25","2.24","4.60","1.88","5.57","1.33","6.05","1.96","6.43","1.12"
"moribundo","1.64","0.85","5.60","2.30","5.32","1.46","5.50","1.41","5.17","2.12","4.81","1.78"
"motivo","5.48","1.27","4.86","1.67","2.25","1.52","1.61","0.94","2.73","1.93","6.55","0.94"
"moto","5.31","1.52","6.15","1.84","6.29","1.01","6.85","0.49","6.09","1.51","6.65","0.59"
"motosierra","3.86","1.70","6.55","1.97","6.85","0.37","6.55","0.94","5.25","2.10","5.38","1.77"
"movimiento","5.32","1.36","5.50","1.96","3.85","1.73","4.62","1.53","4.75","2.19","6.70","0.66"
"móvil","6.62","1.56","5.64","1.87","6.23","1.02","6.57","1.33","6.80","0.70","7.00","0.00"
"muelle","5.45","0.74","3.10","1.83","5.10","1.89","6.09","1.41","4.70","2.41","5.45","1.74"
"muestra","5.33","0.80","4.10","1.45","2.32","1.43","3.57","1.89","4.09","2.20","5.50","1.73"
"municipio","4.86","0.91","3.65","1.66","5.24","1.73","4.27","1.72","4.73","1.88","5.14","1.67"
"muñeca","5.57","1.25","3.59","1.59","5.52","1.86","6.68","0.78","5.70","2.15","6.33","1.24"
"muñeco","5.48","1.04","3.90","1.77","4.67","1.77","6.75","0.72","6.05","1.40","5.67","1.20"
"musculoso","5.86","0.91","4.95","1.91","5.50","1.47","6.38","0.80","6.05","1.29","5.35","1.35"
"mutilación","1.32","0.78","7.60","2.30","4.25","1.77","3.65","2.18","3.61","2.23","4.45","2.01"
"mutilado","1.41","0.59","7.50","1.93","5.23","1.74","5.48","1.73","3.59","2.26","4.23","2.07"
"músculo","5.60","1.35","4.77","2.11","5.48","1.47","5.64","1.40","5.68","1.55","6.59","0.73"
"nacimiento","8.65","0.67","5.91","2.47","4.15","2.13","5.85","1.35","6.39","1.03","6.35","0.99"
"nación","5.32","1.62","5.35","1.93","4.05","2.01","4.45","1.67","4.50","2.06","5.10","1.52"
"nadadora","6.25","1.37","3.80","2.09","6.14","0.91","6.48","0.81","5.95","1.84","5.62","1.32"
"nariz","4.90","1.07","3.23","1.63","6.45","1.18","6.90","0.45","6.14","1.64","6.86","0.36"
"naufragio","2.00","1.11","6.40","2.04","5.55","1.76","5.52","1.25","4.21","2.17","4.36","1.94"
"navaja","2.35","1.50","7.41","2.17","6.45","1.00","6.43","0.81","4.70","2.40","4.68","1.78"
"navajero","2.85","1.83","6.90","1.92","5.95","1.02","3.65","2.18","2.73","1.98","3.32","1.84"
"navidad","6.20","1.82","5.05","2.77","4.80","2.33","5.70","1.42","6.55","1.00","6.30","0.98"
"náusea","2.13","1.15","6.19","2.09","4.77","1.82","4.71","1.52","5.00","2.18","5.00","1.55"
"necesitar","5.00","1.75","5.95","1.70","2.67","1.68","2.10","1.02","4.92","2.22","6.45","0.76"
"negro","4.95","1.17","3.86","1.77","6.29","0.96","6.67","0.73","5.05","2.61","6.43","1.21"
"nervio","4.42","1.77","7.43","1.80","4.05","1.85","4.29","1.85","4.50","2.24","5.65","1.39"
"neurótico","3.59","1.10","6.55","1.67","4.74","1.63","2.70","1.55","3.64","2.06","5.45","1.50"
"niebla","4.59","1.68","4.00","2.10","5.73","1.35","6.41","0.67","4.50","2.13","6.09","1.38"
"nieta","6.73","1.69","3.60","1.82","6.48","1.03","3.65","2.08","5.23","1.80","6.04","1.49"
"niña","6.64","1.19","4.00","2.04","5.23","1.74","6.90","0.30","6.43","1.21","6.77","0.87"
"niño","7.05","1.28","5.30","2.23","5.85","1.27","6.80","0.41","6.50","1.05","6.71","0.64"
"nitrógeno","5.04","1.15","4.45","2.24","4.65","2.08","2.91","2.13","3.50","2.30","4.23","1.95"
"noción","5.41","0.73","3.40","1.82","2.90","1.65","1.20","0.41","2.65","1.92","4.82","1.92"
"novedad","6.95","1.25","6.45","2.06","2.65","1.42","2.32","1.36","5.14","1.91","5.65","1.63"
"novio","6.55","1.67","6.09","2.56","6.14","0.73","5.23","2.02","6.41","0.96","6.64","0.79"
"obispo","3.32","1.62","3.90","2.51","6.65","0.59","5.64","1.53","4.09","2.27","5.32","1.84"
"objeto","4.95","0.69","3.62","1.72","1.73","1.75","4.00","2.27","3.86","1.52","6.39","1.47"
"obsesión","2.75","1.89","6.36","1.65","2.36","1.40","2.70","1.30","4.30","2.18","6.00","1.23"
"olvido","2.35","1.27","5.30","2.64","2.60","1.70","2.40","1.27","3.45","1.77","5.55","1.54"
"ombligo","5.23","1.07","3.10","1.83","6.55","1.01","6.86","0.35","5.50","2.04","6.36","1.05"
"opio","3.88","1.87","4.05","2.01","5.29","2.05","3.24","2.10","2.65","2.43","3.38","1.32"
"oportunidad","7.90","1.14","4.82","1.99","3.40","2.09","3.24","2.00","4.59","2.11","6.45","1.15"
"oposición","4.43","1.62","6.23","2.05","3.65","1.73","2.78","1.57","4.36","1.99","5.70","1.66"
"optimismo","7.83","0.94","4.60","3.08","3.05","1.94","2.80","1.58","3.91","1.87","6.20","1.01"
"oración","4.33","1.28","3.45","1.70","3.24","1.79","3.45","1.57","4.64","2.24","5.67","1.39"
"orfanato","1.73","0.83","6.10","2.10","6.10","1.55","5.40","1.85","5.04","2.08","4.52","1.97"
"orgasmo","8.15","1.27","7.36","2.44","5.00","1.95","4.00","2.29","6.14","1.52","6.23","1.23"
"otoño","5.19","1.86","3.40","2.11","4.95","2.11","6.19","0.98","6.59","0.67","6.35","1.39"
"órgano","4.91","0.87","5.60","1.73","4.62","1.99","5.68","1.32","5.00","1.92","5.62","1.47"
"paciente","4.95","1.53","4.00","1.93","5.10","1.51","5.00","1.80","5.70","1.38","5.81","0.93"
"pacto","5.63","1.38","5.43","1.40","2.55","1.36","3.05","1.79","4.90","2.02","5.60","1.64"
"pala","4.38","1.02","3.50","1.64","5.19","1.63","6.50","1.24","4.95","2.19","5.18","1.79"
"palma","5.00","0.56","3.86","1.67","4.55","1.92","5.85","1.39","5.75","1.55","5.67","1.20"
"pamela","5.70","1.34","4.35","1.95","5.00","1.95","6.05","0.92","4.05","2.32","4.29","2.03"
"panadera","5.93","1.15","3.83","2.01","5.91","1.31","6.38","0.80","5.95","1.56","5.90","1.48"
"pantano","5.32","1.49","4.70","2.30","5.86","1.08","5.95","1.17","5.59","1.68","5.59","1.44"
"pañuelo","4.26","0.96","3.95","2.19","6.30","1.03","6.82","0.39","6.14","1.42","6.33","1.20"
"papa","7.00","2.05","4.50","1.92","5.40","1.82","6.43","1.12","6.05","1.73","6.50","0.80"
"papel","5.32","0.95","3.73","1.55","5.15","2.01","6.91","0.29","6.55","1.10","6.40","1.31"
"paracaídas","6.65","1.60","6.86","2.47","6.90","0.30","6.73","0.55","4.91","2.54","5.43","1.78"
"paraguas","3.15","1.63","5.30","1.87","6.29","1.01","7.00","0.00","6.64","0.66","6.50","0.89"
"pared","4.77","0.61","3.45","1.76","6.32","0.95","6.55","1.00","6.00","1.54","6.52","1.17"
"parque","7.18","1.16","3.35","2.37","4.55","1.82","6.81","0.68","6.19","1.17","6.76","0.54"
"partera","4.85","1.42","6.00","2.08","4.90","1.64","2.64","1.89","2.68","1.73","2.74","1.68"
"parto","7.39","2.15","7.64","1.29","5.45","1.77","6.05","1.24","6.23","1.54","4.85","2.08"
"pasado","5.50","2.22","5.30","2.03","2.60","1.76","3.15","1.87","5.86","1.46","6.14","1.73"
"pase","4.90","1.04","3.75","1.68","3.10","1.52","4.83","2.19","4.05","2.14","4.85","1.84"
"pasillo","4.70","1.03","3.77","1.69","5.70","1.26","6.32","0.89","4.36","2.11","6.10","1.26"
"pasión","7.96","0.98","6.70","3.03","2.95","1.85","4.05","1.79","5.86","1.55","6.55","1.19"
"pasividad","3.80","1.40","3.27","2.12","2.85","1.60","2.22","1.41","3.74","2.40","5.00","1.56"
"pasta","5.95","1.25","4.82","1.89","3.70","1.72","6.59","0.67","6.30","1.56","6.90","0.30"
"pastor","5.10","0.85","3.36","1.56","6.09","1.23","6.45","0.76","4.80","2.44","5.73","1.49"
